Lab Data from MenloSensor
04/20/2015

Sunny day monitoring from about 12:26 PM on

Battery started mostly discharged 12:16 PM

No light flashing due to day/night program

Microcontroller always on at default 8Mhz ceramic resonator
  - No microcontroller power saving programmed as of yet

Radio on new power control program with radio power off after
250ms.

30 second update rate that automatically powers on the radio,
reads the sensors and sends the data update.

Need current measurements for:

  - In radio power off state

  - 70-85ma with radio powered on from previous testing

600ma hour single cell AA NiCD battery 1.25v

In the past can expect the device go shutoff when battery
gets below 0.90v
2015/04/20 14:24:56: 03E2.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 14:25:26: 03E2.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:25:56: 03E2.01BC.020F.0164.0000 battery 1.432V solar 1.700V 
2015/04/20 14:26:26: 03E2.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 14:26:56: 03E2.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 14:27:26: 03E2.01BC.020F.015F.0000 battery 1.432V solar 1.700V 
2015/04/20 14:27:56: 03E2.01BC.020F.0163.0000 battery 1.432V solar 1.700V 
2015/04/20 14:28:26: 03E2.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 14:28:56: 03E2.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
2015/04/20 14:29:26: 03E2.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 14:29:56: 03E1.01B5.020C.0162.0000 battery 1.410V solar 1.690V 
2015/04/20 14:30:26: 03E2.01BB.020F.0163.0000 battery 1.429V solar 1.700V 
2015/04/20 14:30:56: 03E3.01BB.020C.0162.0000 battery 1.429V solar 1.690V 
2015/04/20 14:31:26: 03E2.01B9.020D.0162.0000 battery 1.423V solar 1.694V 
2015/04/20 14:31:56: 03E1.01BB.020F.0159.0000 battery 1.429V solar 1.700V 
2015/04/20 14:32:26: 03E1.01BB.020F.015A.0000 battery 1.429V solar 1.700V 
2015/04/20 14:32:56: 03E2.01BB.020E.0163.0000 battery 1.429V solar 1.697V 
